Hex Representation, Visits, Green Win Rate
0d02200000400010302000000000100201, 8, 0.375
0d000200000000a0301400000110000002, 33, 0.6060606
0d05020800000020300000000040000102, 7, 0.14285715
0d01020000000020301000140000200002, 22, 0.5
0d00120000000020300000000000210502, 28, 0.5714286
0d040200000000a0301400100000000002, 4, 0
0d02210000000000302000000000104201, 86, 0.47674417
0d00020800000020301000100010000102, 31, 0.41935483
0d00020800000020301000100050000002, 48, 0.5625
0d01122000000020301400000000000002, 51, 0.4509804
0d02090400000040302000000000100200, 69, 0.5217391
0d00120000000020301400000000008102, 41, 0.41463414
0d81120000000020301000000040000002, 24, 0.29166666
0d00122000000020301400000040000002, 46, 0.4347826
0d0a000500000010302000000000100200, 30, 0.43333334
0d80520000000020301000000000000102, 38, 0.4473684
0d80420000000020301000000040000102, 37, 0.6216216
0d02000400000058302000000000000201, 33, 0.36363637
0d00020000000020309400000140000002, 23, 0.5217391
0d02090000000058310000000000000200, 8, 0.25
0d01120000200020301000000000008100, 88, 0.52272725
0d08010000000010302000204000000201, 26, 0.42307693
0d0a000440000010302000000020000001, 17, 0.29411766
0d01120004200020301000000000008000, 39, 0.53846157
0d02010000000010302800000000400201, 105, 0.4952381
0d040200000000a0301000000010000102, 59, 0.45762712
0d42010000000000302800000000400201, 9, 0.22222222
0d02010000000000306000000080400201, 110, 0.57272726
0d00000000100040312000000080000a01, 12, 0.33333334
0d80020800000020300500100000000100, 16, 0.4375
0d00162800000000301000000000000102, 56, 0.5714286
0d00062804000000301000000000000102, 26, 0.61538464
0d00122804000000301000000000000102, 19, 0.36842105
0d02088000000040304000000000100201, 10, 0.3
0d2a001400000010302000000000100000, 68, 0.63235295
0d02010000100040300000800020000201, 38, 0.47368422
0d01120000000004300000000008800102, 100, 0.67
0da0120000000020301000000040000100, 37, 0.45945945
0d02010000000050302800000020400000, 69, 0.5072464
0d01120000200000301000000040200002, 57, 0.47368422
0d04120800000000309000000040000002, 99, 0.5555556
0d01020800000024300400000000008100, 81, 0.4814815
0d04120800000000308000000040000102, 1, 0
0d02000400000050302000200000100200, 84, 0.5833333
0d81020000000020300400000040000102, 37, 0.43243244
0d02080000000050302000000000100201, 72, 0.5277778
0d02010000000040302000000000100a01, 79, 0.5443038
0d81020000000020300400040000000102, 67, 0.53731346
0d01020000000025300000000000008102, 26, 0.42307693
0d00162000000020301000000000000102, 60, 0.5
0d01020000000020300000000150800002, 21, 0.52380955
0d02081400010010302000000000000200, 19, 0.42105263
0d02200400010010302000000000000201, 42, 0.52380955
0d02210000010010302000000000000201, 57, 0.5263158
0d01120800000020301000000000000102, 140, 0.57857144
0d02010000000000302000000081100201, 34, 0.5588235
0d02010000000000302800000000140201, 33, 0.54545456
0d02200000000000302000000000504201, 5, 0.4
0d000200000000a0301400100000000102, 17, 0.47058824
0d05060000000020301000000000200002, 38, 0.39473686
0d01020800000020300000000050000402, 15, 0.33333334
0d00020000000000309000000000810502, 47, 0.5319149
0d42081100000018300000000000000200, 6, 0.33333334
0d48011000000000302000200000000201, 26, 0.34615386
0d85000001000020308000000000000102, 3, 0
0d00002000000024301000140000008002, 3, 0
0d42091402000000302000000000000000, 9, 0.44444445
0d05122000020020300000000000000100, 16, 0.3125
0d80020200000004301000100000000102, 32, 0.40625
0d00010000000000302000000220504200, 12, 0.5833333
0d05120000000020309002000000000000, 54, 0.5
0d0a000000100050306000000080000000, 11, 0.54545456
0d02010000000008302000000080404001, 78, 0.5
0d00200000100050302000000000000a01, 50, 0.46
0d00211400000000302000200000000201, 55, 0.54545456
0d02010000000008302000000080504000, 19, 0.5263158
0d02200000400018306000000000000001, 2, 0
0d800200000000a0301000000010000500, 11, 0.36363637
0d42201100000000300000000020000201, 6, 0.5
0d00010000000010306001200080000200, 24, 0.625
0d00022000000000300000000010210502, 2, 0
0d050400002000a0300000000000000102, 66, 0.57575756
0d40011000000008302800000000004200, 14, 0.21428572
0d00000000000020301000100010a00102, 30, 0.4
0d01062800000024300000100000000000, 7, 0.14285715
0d050000002000a0300000000000000502, 34, 0.47058824
0d0a000400000050302000000000004200, 58, 0.5
0d01122000000020300400000000000102, 87, 0.55172414
0d00020000200020301000100040000102, 39, 0.46153846
0d01020000000024309000000040000002, 99, 0.6262626
0d0a000400000040302000000000004201, 49, 0.48979592
0d01120800000020300400000000000402, 58, 0.5344828
0d01020000000020300400000040200102, 67, 0.5522388
0d01060000000020300400000040200002, 28, 0.39285713
0d010200000000a0301000100040000002, 33, 0.45454547
0d02200000000050302000000000400201, 36, 0.41666666
0d40010000100010302a00000000000200, 44, 0.5
0d01060880000000300000100010000002, 50, 0.54
0d40010000000010302a00000000004200, 66, 0.57575756
0d040200000000a0321000100000000400, 33, 0.54545456
0d02201008000010302000000000004001, 33, 0.54545456
0d02280440000000302000000000004001, 22, 0.6363636
0d01060000000000301100000000208002, 7, 0.5714286
0d80020800000000301400000010000102, 66, 0.530303
0d80020800000000301500000000000102, 45, 0.53333336
0d02290440000000302000000000004000, 19, 0.42105263
0d00160004000000300000000002800102, 3, 0
0d0a800000000010302000004000004001, 4, 0.5
0d00010440000010302000000000020a00, 9, 0.33333334
0d05100000000020301000000000088002, 5, 0
0d05100004000020300000000000088002, 10, 0.5
0d00a10000000000302000000000104201, 38, 0.4473684
0d01000800020020300000000050000102, 29, 0.3448276
0d00210002000010302000000000100201, 57, 0.4385965
0d42010000000010302000000080020001, 60, 0.46666667
0d01020000000084300402000000000102, 43, 0.39534885
0d00210000000000302000000081500200, 13, 0.3846154
0d01060801000020300000000000200100, 11, 0.27272728
0d00210000000000302000000081100201, 4, 0.25
0d02200000000050304800000000000201, 100, 0.56
0d42010500000000302800000080000000, 6, 0.5
0d00122004000020301000000000000102, 45, 0.4888889
0d04022004000020301000000000000102, 15, 0.6
0d02010000000018302000000000500200, 36, 0.3888889
0d02000000000010302000004020104200, 17, 0.5294118
0d0a000000100040312000000000000201, 7, 0.42857143
0d04420100000020308000000000000102, 22, 0.6363636
0d00020000000020301001000100800102, 4, 0.75
0d02000000000010302000040020400201, 4, 0.75
0d81020000000020301000140000000002, 45, 0.4888889
0d01062001400020300000000000000002, 5, 0.6
0d00002000000024301100000000200102, 7, 0.5714286
0d814000040000a0300000000000000102, 7, 0.5714286
0d00020000000000309000000110200102, 10, 0.3
0d00020000000000309000000510200002, 12, 0.41666666
0d00002000000025301100000000200002, 4, 0.5
0d01000000000020301000140000280002, 65, 0.6769231
0d01000000000024300000140000280002, 0, 0
0d02a00000400010306000000000000001, 4, 0.25
0d01020000000000300000000012200502, 28, 0.39285713
0d05460800020000300000000000000002, 2, 0
0d105000002000a0301000000000000002, 20, 0.55
0d01020000000000300000400100208102, 2, 0
0d02010000000000300000000084100a01, 7, 0.42857143
0d000100004000503020000000a0000200, 46, 0.5652174
0d10010500000008302800000000000200, 2, 0
0d80040000000020309000100040000002, 18, 0.33333334
0d01020000200024301000000010008000, 40, 0.45
0d01002000000020300000100040008102, 70, 0.5714286
0d0a010400100000302000000020400000, 33, 0.42424244
0d05020000000000309400000000800002, 36, 0.44444445
0d01120000000024300000000002200100, 95, 0.5473684
0d00000800020020301000100040000102, 52, 0.42307693
0d05020000800080301000000000000102, 48, 0.4375
0d02000400000010302000000080420001, 95, 0.58947366
0d001200002000a4301000000000000100, 52, 0.53846157
0d00010000000010306800200000000201, 43, 0.4651163
0d02010400000018302800000000000001, 49, 0.53061223
0d0a210400000010302000000000400000, 30, 0.4
0d00000000000010306800200000100201, 47, 0.5531915
0d02210002000050306000000000000000, 25, 0.4
0d02010000000010300000000080520200, 21, 0.2857143
0d02010000000010300000000080420201, 82, 0.5365854
0d40010400000012302800000000000200, 40, 0.475
0d00064000200020301000000040000002, 15, 0.46666667
0d91020000000020300400000000000102, 11, 0.36363637
0d02000000000010306000400020100200, 4, 0
0d95020000000020300000000000000102, 3, 0
0d04020000000024301400000000200002, 16, 0.375
0d02010000000000302000000080500201, 39, 0.43589744
0d42010000100010302000000080000200, 74, 0.527027
0d05020000000024300400000000200002, 18, 0.3888889
0d02014000100010302000200020000000, 26, 0.46153846
0d04022000000020300000400010008100, 26, 0.46153846
0d08001000040000302000000020004201, 15, 0.46666667
0d11020000200000301000100000008002, 8, 0.875
0d80020000000004309000000000000502, 43, 0.4651163
0d80020000000020309400040040000000, 32, 0.53125
0d02090400010000300000000000000a01, 34, 0.4117647
0d81120000000000300000000040800102, 76, 0.55263156
0d0a000000000010302001200000100001, 3, 0.33333334
0d80020000000020308400040040000100, 26, 0.46153846
0d00020000000020308402000440000100, 18, 0.3888889
0d00020000000020309002000440000100, 27, 0.37037036
0d00022000020020300500000040000100, 15, 0.33333334
0d02010400000000300000004000020a01, 5, 0.2
0d01100000000020301400000002800002, 65, 0.52307695
0d81060000000000300000100004200002, 38, 0.55263156
0d81060000000000301000000004200002, 13, 0.3846154
0d40010000000008302000000080004201, 79, 0.5949367
0d00000000100000302800000024400201, 49, 0.5510204
0d010660000000a0301000000000000000, 11, 0.45454547
0d00020000000020301400000010200102, 65, 0.4923077
0d02010400000010302800000000004200, 50, 0.46
0d02291000014000302000000000000000, 7, 0.85714287
0d000100000000003020000000a1400201, 57, 0.6666667
0d01000000000020300004000010a00102, 0, 0
0d000100000000003020000100a1000201, 0, 0
0d01020000004005300000000000208002, 10, 0.5
0d01000000200020308000000110000102, 6, 0.16666667
0d1a090100000010302000000000000000, 2, 1
0d00000000000020301000000000819402, 15, 0.4
0d81022000040004301000000000000002, 29, 0.4827586
0d5a090100000000302000000000000000, 8, 0.375
0d02001100000010302800000000000201, 2, 0
0d01020800000024300400000000000102, 34, 0.4117647
0d02000000000010302000000081104200, 4, 0.25
0d02001500000010302800000000000200, 3, 0.33333334
0d4a090000000010302000000000004000, 56, 0.53571427
0d81022000000004301000000000000102, 63, 0.53968257
